k,vanilla_full_avg_density,vanilla_k_avg_density,gdbscan_avg_density
1,36.59590749730942,94.4761628573822,36.59590749730942
2,51.41392769074346,156.70489629356942,51.41392769074346
3,44.80166844641949,170.03428300245108,65.76800607962305
4,46.25998243620601,144.08369922288267,103.7722664276023
5,55.90321852044125,146.6717517739117,92.41161277222932
6,54.41418179215727,172.09914958178862,157.03581585646702
7,54.00823607345768,152.74154356972014,141.96963670000892
8,61.90313562492618,139.97821617420084,217.67833801801538
9,60.623939921084265,129.06825984276537,197.00042823354386
10,84.48515979109318,162.16624052078606,202.62908815643033
